VerticalVelocity,IndicatedAirspeed,TrueGroundspeed,SlideoutDistance,SlideoutDist1000
3,185.076,185.57,5239.726,5
3,215.189,167.403,7255.002,7
3,198.854,193.863,4706.783,4
3,173.956,172.953,5497.115,5
1,200.209,186.933,7517.944,7
4,196.66,190.901,5647.437,5
3,179.955,180.084,4884.64,4
4,194.405,193.492,6145.231,6
3,191.324,186.028,4383.766,4
4,195.287,201.623,5846.115,5
4,169.209,207.677,5191.399,5
6,202.211,172.058,7836.865,7
3,192.785,190.04,5870.364,5
1,179.71,194.98,5321.025,5
2,182.27,186.426,4754.017,4
1,229.923,172.012,6596.207,6
1,156.068,228.614,6587.659,6
5,197.579,207.375,6724.433,6
4,191.288,188.518,3679.542,3
3,193.805,169.778,5925.488,5
4,188.846,180.109,5339.537,5
6,204.692,213.03,3977.996,3
3,184.484,163.054,7000.431,7
2,181.825,240.111,7403.41,7
0,204.779,195.117,5054.096,5
2,194.062,170.145,4488.384,4
1,164.482,174.728,6271.946,6
5,181.997,165.482,4380.824,4
3,208.758,196.444,7287.778,7
2,203.954,197.781,5928.623,5
1,173.305,170.414,6961.088,6
4,166.641,192.01,6918.904,6
4,190.944,200.714,6129.187,6
2,169.713,187.927,6088.354,6
4,186.12,174.856,6839.092,6
4,198.878,214.595,6802.854,6
1,220.622,229.122,6529.344,6
2,189.635,197.547,5103.536,5
3,196.263,171.567,7023.727,7
3,170.544,198.924,6806.996,6
1,214.279,217.883,6756.978,6
2,189.627,191.501,6077.105,6
2,211.009,191.745,6260.421,6
3,165.847,208.182,6035.304,6
6,192.324,171.56,7208.275,7
7,181.199,196.302,7110.724,7
3,197.161,174.753,6181.331,6
6,208.524,230.121,7286.864,7
3,174.426,177.13,6886.577,6
2,203.687,199.4,5589.929,5
6,211.488,208.689,6974.971,6
5,200.991,200.014,3601.379,3
1,192.962,193.948,8332.072,8
2,213.209,194.79,8076.072,8
1,187.0,168.05,5744.724,5
3,185.741,191.93,5868.154,5
3,178.306,185.087,5125.76,5
7,203.193,194.431,6195.336,6
5,187.134,187.443,6169.163,6
0,166.107,191.589,5860.322,5
2,152.644,187.151,5532.405,5
1,203.295,212.058,6799.339,6
3,192.05,182.106,5927.542,5
3,195.383,184.746,4858.822,4
2,173.802,196.71,5823.414,5
6,204.628,181.748,5209.699,5
2,181.79,176.26,5160.194,5
1,197.032,220.122,5628.521,5
3,200.098,211.838,6959.796,6
4,200.786,190.107,5334.808,5
3,197.45,173.151,4026.715,4
3,182.49,193.576,4418.119,4
3,210.334,201.56,5243.95,5
6,195.326,202.986,4842.861,4
5,179.006,190.846,7349.707,7
3,169.508,160.038,5001.796,5
2,192.046,201.599,4186.046,4
6,172.854,160.162,5014.47,5
6,180.282,241.619,6134.124,6
1,205.088,174.989,7798.795,7
5,205.899,192.335,4050.076,4
3,201.894,185.76,5692.793,5
4,212.94,198.494,4691.556,4
5,188.635,151.209,6405.154,6
5,198.57,212.39,6941.21,6
0,208.28,199.474,6274.516,6
4,204.403,161.776,7948.086,7
1,182.458,183.65,5266.389,5
6,191.02,232.773,5671.159,5
3,236.267,180.136,4336.017,4
1,203.593,190.367,5603.357,5
6,168.269,230.831,6805.829,6
5,139.723,235.501,5001.988,5
1,197.866,192.604,6504.672,6
1,170.447,194.381,4385.442,4
3,175.861,209.257,7038.447,7
3,172.897,196.562,7189.689,7
4,194.164,212.452,5964.241,5
4,190.059,183.668,5551.167,5
3,182.79,186.912,4424.135,4
8,191.424,185.893,5938.018,5
9,177.868,161.876,5135.885,5
3,196.529,195.932,6350.759,6
2,201.041,197.379,5414.953,5
7,211.434,225.841,4935.537,4
4,185.012,202.135,5727.218,5
2,204.974,155.689,7515.089,7
1,192.596,226.729,6596.726,6
5,183.287,201.775,6323.192,6
1,182.383,204.338,6870.823,6
6,165.369,193.026,4803.674,4
5,182.833,213.581,7975.104,7
3,169.098,151.018,6842.167,6
5,219.966,210.722,5111.079,5
2,205.36,178.908,7211.437,7
3,199.39,210.758,5152.295,5
5,185.862,184.898,5302.837,5
4,190.728,223.39,3968.676,3
5,179.981,180.323,6018.415,6
4,190.989,189.86,5104.39,5
3,194.056,210.75,6432.992,6
5,193.101,187.666,6657.424,6
6,198.074,207.944,6047.093,6
2,218.0,170.894,5454.786,5
3,195.851,181.465,6067.33,6
5,181.716,196.35,5133.679,5
5,189.387,208.189,6186.074,6
1,184.836,195.508,4250.626,4
2,186.969,165.177,7377.584,7
5,188.933,209.37,5183.619,5
3,181.921,179.364,7094.326,7
3,213.943,229.095,6584.143,6
3,214.431,203.66,4632.151,4
1,175.012,215.669,6240.002,6
4,193.118,164.172,5292.127,5
0,182.773,211.062,6980.935,6
3,199.538,198.037,5496.804,5
4,192.228,182.222,3711.821,3
3,212.412,185.915,4718.251,4
3,193.922,154.338,4790.501,4
2,197.294,192.572,6124.251,6
2,173.367,198.521,6053.508,6
6,185.833,187.887,7817.283,7
5,198.429,207.829,6608.969,6
7,202.254,171.232,4708.954,4
3,176.362,163.736,6441.022,6
5,180.824,215.372,5810.889,5
1,185.887,188.929,3902.311,3
7,175.067,162.27,6449.443,6
3,186.123,169.113,4712.201,4
6,197.023,231.055,6152.392,6
3,163.683,182.11,4914.322,4
3,171.271,217.112,6005.129,6
2,177.397,201.463,5688.832,5
5,182.885,192.009,3571.761,3
2,196.476,176.62,6121.742,6
2,183.396,229.376,7153.791,7
2,197.219,209.513,5445.823,5
7,154.881,227.169,5243.593,5
0,186.218,190.814,6064.667,6
5,177.027,194.414,6016.983,6
1,192.21,178.835,4979.491,4
4,196.101,182.684,4557.88,4
3,202.914,198.164,7236.833,7
2,169.455,173.323,6795.897,6
5,211.773,198.232,4538.904,4
2,197.357,155.715,4117.536,4
1,192.855,193.919,5329.717,5
3,208.08,188.777,7425.827,7
8,184.898,183.321,4254.527,4
6,201.58,173.086,6012.651,6
5,192.704,200.586,6304.776,6
5,189.889,204.948,6047.989,6
3,183.549,196.583,5870.521,5
1,173.187,183.052,5381.137,5
2,180.713,176.204,6206.033,6
8,192.058,215.896,7305.147,7
1,173.617,194.506,5545.63,5
2,161.324,188.886,6364.563,6
3,215.106,219.567,7143.426,7
7,199.434,181.797,5382.906,5
2,229.474,182.58,4613.578,4
4,177.858,199.785,6627.697,6
4,221.751,201.753,7287.191,7
5,197.513,195.017,5920.261,5
7,185.978,197.215,6329.17,6
4,199.982,178.951,5882.983,5
4,192.347,208.123,4734.009,4
4,164.045,207.92,7353.938,7
3,156.37,198.294,5651.357,5
6,207.413,196.343,4491.768,4
4,168.34,179.117,3888.807,3
4,182.478,187.903,3883.484,3
3,188.253,207.404,5716.067,5
3,190.035,155.461,6994.806,6
5,177.372,193.541,8122.739,8
4,175.863,190.791,4537.881,4
0,196.521,202.728,7267.416,7
5,195.919,204.195,6458.407,6
5,178.295,235.157,7717.44,7
