VerticalVelocity,IndicatedAirspeed,TrueGroundspeed,SlideoutDistance,SlideoutDist1000
2,208.617,211.982,5199.443,5
2,183.179,204.105,7835.209,7
4,203.523,185.662,5265.01,5
0,189.29,207.951,5429.95,5
1,194.649,206.745,5669.589,5
1,186.174,206.288,6048.223,6
2,188.28,195.698,4761.229,4
2,174.908,187.157,4785.532,4
2,194.474,190.819,5383.022,5
1,190.722,198.05,5018.859,5
0,201.204,197.642,7459.734,7
2,195.528,200.734,6033.599,6
0,189.282,169.375,7750.181,7
1,192.084,195.055,6134.597,6
2,210.908,185.427,4550.106,4
0,179.758,194.739,4347.966,4
1,182.82,196.286,7118.385,7
3,198.352,206.021,5826.322,5
3,198.832,203.835,6148.233,6
1,176.48,204.776,6024.588,6
1,193.803,197.361,7223.435,7
2,197.983,200.98,5455.188,5
3,198.059,192.475,6013.869,6
2,195.264,224.022,6707.758,6
3,176.082,199.093,7275.891,7
1,190.89,186.226,7206.388,7
2,168.746,197.822,6592.201,6
0,179.108,185.068,5315.237,5
4,189.567,201.885,5960.049,5
1,202.642,231.282,5693.865,5
0,188.979,185.632,6153.069,6
2,198.997,174.417,4469.019,4
1,180.285,197.573,6270.093,6
0,204.857,204.676,7724.796,7
3,190.178,199.516,6308.431,6
2,192.687,200.533,5061.449,5
2,200.155,225.611,6343.946,6
5,216.062,201.981,6380.203,6
2,192.877,218.054,4337.036,4
7,190.328,217.282,5479.347,5
4,190.382,219.75,5404.234,5
4,184.627,208.858,6080.615,6
1,178.697,192.529,6020.328,6
1,200.679,190.022,5210.268,5
1,193.372,187.243,5161.071,5
2,203.892,190.322,5014.924,5
2,172.075,179.406,4571.853,4
2,176.239,183.984,5099.197,5
2,216.958,204.931,7052.694,7
2,186.865,216.722,4955.12,4
3,187.89,208.3,6807.068,6
4,184.145,210.671,5925.166,5
5,194.225,217.202,4162.407,4
2,197.324,173.941,6325.198,6
2,201.35,193.891,3983.583,3
2,173.655,223.781,6319.361,6
3,190.748,196.781,6225.576,6
3,194.127,191.254,8861.344,8
1,174.652,204.307,5783.142,5
1,193.388,211.855,7176.556,7
0,188.773,184.649,6788.297,6
2,184.451,187.589,6447.334,6
1,193.006,205.48,5796.288,5
2,161.165,202.49,5222.572,5
1,219.233,189.096,4905.547,4
4,200.713,202.085,6748.528,6
2,190.079,210.879,4361.397,4
1,188.569,219.444,5794.17,5
2,180.57,205.284,6197.21,6
4,173.932,196.527,5787.825,5
3,174.425,210.218,7499.902,7
1,190.74,200.284,7276.611,7
3,200.661,196.516,3540.099,3
2,179.888,172.032,4804.75,4
1,214.599,219.515,5777.322,5
3,188.821,189.221,7224.689,7
1,198.361,198.944,5971.109,5
3,175.37,217.369,3728.335,3
2,169.284,190.609,6119.947,6
0,200.118,212.429,8150.37,8
2,201.386,204.632,5833.274,5
4,201.867,188.346,5156.322,5
1,186.901,196.287,6685.717,6
1,182.451,192.907,6355.9,6
1,220.337,202.796,5709.549,5
2,206.079,178.283,5094.751,5
1,170.544,187.116,5423.493,5
1,198.598,198.776,4902.717,4
3,195.694,204.772,7368.675,7
0,180.281,225.432,5913.966,5
3,177.903,197.105,7436.753,7
3,196.146,210.36,3509.402,3
0,199.128,191.671,6514.239,6
2,191.016,214.649,6377.658,6
1,182.4,198.892,6813.097,6
2,184.956,193.913,5459.515,5
2,184.675,179.65,4653.824,4
5,212.675,193.97,6542.903,6
2,200.064,204.531,5744.646,5
4,165.968,208.718,4324.281,4
4,167.832,206.379,6161.219,6
2,211.256,183.576,6846.52,6
4,209.088,196.285,5573.61,5
2,180.942,183.554,5960.145,5
2,187.522,212.775,6412.006,6
2,196.624,203.115,6399.418,6
2,183.317,193.509,2995.954,2
2,202.061,190.087,6079.442,6
2,185.886,200.284,5824.458,5
1,195.303,187.51,5229.237,5
3,190.56,200.998,6036.355,6
1,212.375,209.984,7154.51,7
1,201.927,185.742,6952.08,6
3,199.817,196.676,6564.905,6
0,209.444,202.01,5265.615,5
3,162.708,192.874,7070.681,7
2,187.247,214.153,6504.254,6
2,203.618,209.746,6306.523,6
2,191.391,185.866,5003.212,5
2,215.121,227.522,5808.816,5
0,187.914,217.217,6125.439,6
2,201.765,194.255,4926.307,4
0,190.682,214.039,6455.646,6
3,205.171,217.92,4378.977,4
0,178.329,175.753,5315.621,5
0,184.603,201.971,9254.191,9
1,197.189,216.755,5523.018,5
1,178.545,203.34,5368.12,5
2,202.421,189.325,5941.531,5
3,185.799,211.329,4622.215,4
1,170.111,199.252,5742.881,5
3,186.96,199.269,5787.726,5
0,202.75,189.584,5800.511,5
3,196.022,180.413,7643.943,7
1,194.518,203.267,4845.471,4
1,186.631,209.591,6245.674,6
3,211.495,192.638,4843.392,4
0,224.006,207.696,6062.932,6
1,197.372,198.022,6252.222,6
0,188.48,207.419,4842.375,4
2,186.044,198.56,6746.921,6
2,204.366,200.059,5249.926,5
2,185.353,197.044,7665.282,7
1,220.626,201.228,6147.406,6
1,171.515,217.811,5308.792,5
2,183.748,191.977,5030.581,5
1,201.092,187.949,4980.969,4
3,182.591,196.662,6141.743,6
4,197.462,187.028,3765.382,3
3,188.395,194.933,7024.273,7
3,189.195,207.759,5651.736,5
3,205.427,192.381,6359.062,6
1,189.274,199.136,5928.202,5
3,154.625,233.757,5797.344,5
2,195.861,190.024,4309.742,4
5,190.169,229.101,6682.715,6
3,162.937,199.646,7095.264,7
2,183.545,195.717,6632.447,6
1,190.977,189.967,6817.581,6
2,213.065,204.789,3982.877,3
1,205.909,184.839,6066.184,6
0,185.35,205.381,5526.014,5
1,198.876,223.895,4789.118,4
2,197.79,185.517,6744.108,6
3,200.81,188.944,5921.625,5
1,224.961,197.673,6267.383,6
0,194.48,194.066,6202.312,6
1,200.889,191.734,7764.66,7
3,179.375,190.452,4754.912,4
0,199.179,225.94,7806.38,7
4,191.883,181.951,8118.374,8
1,214.975,194.138,5842.686,5
2,170.113,231.671,5324.037,5
2,180.217,207.325,5003.517,5
3,201.499,164.223,7560.449,7
1,205.055,208.586,6084.656,6
1,211.264,205.464,6083.412,6
2,187.138,200.695,6884.6,6
2,195.609,201.154,5307.351,5
2,186.703,182.256,5325.566,5
0,188.054,189.199,6060.808,6
1,187.141,225.293,5661.416,5
4,195.314,187.003,6906.168,6
3,166.887,186.744,5963.084,5
3,182.968,222.02,7259.445,7
1,190.999,194.181,5830.782,5
2,187.368,197.667,6367.075,6
3,192.553,217.082,6886.824,6
4,183.836,205.072,2953.179,2
4,197.656,209.951,7361.309,7
1,197.025,183.477,7078.69,7
