VerticalVelocity,IndicatedAirspeed,TrueGroundspeed,SlideoutDistance,SlideoutDist1000
0,16.811,12.102,-742.265,5
0,-8.626,4.225,1893.5,7
2,11.717,-14.217,-676.698,5
-1,-2.515,8.071,-511.758,5
0,2.843,6.865,-272.119,5
0,-5.631,6.408,106.514,6
0,-3.525,-4.181,-1180.479,4
0,-16.897,-12.722,-1156.176,4
0,2.668,-9.06,-558.686,5
0,-1.083,-1.829,-922.849,5
-1,9.398,-2.237,1518.025,7
0,3.722,0.854,91.89,6
-1,-2.523,-30.504,1808.472,7
0,0.278,-4.824,192.888,6
0,19.102,-14.452,-1391.602,4
-1,-12.047,-5.14,-1593.742,4
0,-8.985,-3.593,1176.676,7
1,6.546,6.141,-115.386,5
1,7.026,3.955,206.524,6
0,-15.325,4.896,82.879,6
0,1.997,-2.518,1281.726,7
0,6.177,1.1,-486.52,5
1,6.253,-7.404,72.16,6
0,3.458,24.142,766.049,6
1,-15.723,-0.786,1334.182,7
0,-0.915,-13.653,1264.679,7
0,-23.059,-2.057,650.492,6
-1,-12.697,-14.811,-626.471,5
2,-2.238,2.005,18.34,5
0,10.836,31.402,-247.843,5
-1,-2.826,-14.247,211.36,6
0,7.191,-25.462,-1472.689,4
0,-11.52,-2.306,328.384,6
-1,13.051,4.796,1783.087,7
1,-1.627,-0.363,366.722,6
0,0.881,0.653,-880.259,5
0,8.349,25.731,402.237,6
3,24.256,2.101,438.494,6
0,1.071,18.174,-1604.672,4
5,-1.477,17.402,-462.361,5
2,-1.423,19.87,-537.474,5
2,-7.178,8.978,138.906,6
0,-13.108,-7.35,78.619,6
0,8.873,-9.857,-731.44,5
0,1.566,-12.636,-780.637,5
0,12.086,-9.557,-926.784,5
0,-19.73,-20.473,-1369.855,4
0,-15.566,-15.895,-842.511,5
0,25.152,5.051,1110.985,7
0,-4.94,16.842,-986.588,4
1,-3.915,8.42,865.359,6
2,-7.66,10.791,-16.542,5
3,2.419,17.322,-1779.301,4
0,5.518,-25.938,383.489,6
0,9.544,-5.988,-1958.125,3
0,-18.15,23.901,377.652,6
1,-1.057,-3.098,283.867,6
1,2.321,-8.625,2919.635,8
0,-17.153,4.427,-158.566,5
0,1.582,11.975,1234.847,7
-1,-3.032,-15.23,846.588,6
0,-7.354,-12.29,505.625,6
0,1.2,5.6,-145.42,5
0,-30.64,2.61,-719.136,5
0,27.427,-10.783,-1036.161,4
2,8.907,2.205,806.819,6
0,-1.726,10.999,-1580.311,4
0,-3.236,19.564,-147.538,5
0,-11.235,5.404,255.501,6
2,-17.873,-3.352,-153.883,5
1,-17.38,10.338,1558.193,7
0,-1.065,0.404,1334.902,7
1,8.855,-3.363,-2401.609,3
0,-11.917,-27.847,-1136.958,4
0,22.793,19.635,-164.386,5
1,-2.984,-10.658,1282.98,7
0,6.555,-0.935,29.4,5
1,-16.435,17.489,-2213.373,3
0,-22.521,-9.27,178.238,6
-1,8.312,12.549,2208.661,8
0,9.58,4.752,-108.434,5
2,10.061,-11.533,-785.386,5
0,-4.904,-3.592,744.008,6
0,-9.354,-6.972,414.191,6
0,28.531,2.916,-232.159,5
0,14.273,-21.596,-846.957,5
0,-21.261,-12.763,-518.215,5
0,6.792,-1.103,-1038.991,4
1,3.888,4.892,1426.966,7
-1,-11.524,25.552,-27.742,5
1,-13.902,-2.774,1495.044,7
1,4.34,10.48,-2432.306,3
-1,7.322,-8.208,572.53,6
0,-0.789,14.769,435.949,6
0,-9.405,-0.987,871.388,6
0,-6.849,-5.966,-482.193,5
0,-7.13,-20.229,-1287.884,4
3,20.869,-5.909,601.194,6
0,8.258,4.651,-197.062,5
2,-25.837,8.838,-1617.427,4
2,-23.973,6.499,219.51,6
0,19.45,-16.303,904.811,6
2,17.282,-3.594,-368.098,5
0,-10.863,-16.325,18.436,5
0,-4.283,12.895,470.297,6
0,4.818,3.235,457.709,6
0,-8.488,-6.37,-2945.754,2
0,10.255,-9.792,137.733,6
0,-5.919,0.404,-117.25,5
0,3.497,-12.369,-712.471,5
1,-1.245,1.118,94.646,6
0,20.569,10.104,1212.801,7
0,10.121,-14.137,1010.371,6
1,8.011,-3.203,623.196,6
-1,17.638,2.13,-676.093,5
1,-29.097,-7.005,1128.972,7
0,-4.558,14.273,562.545,6
0,11.812,9.866,364.814,6
0,-0.414,-14.013,-938.496,5
0,23.315,27.642,-132.892,5
-1,-3.891,17.337,183.73,6
0,9.959,-5.624,-1015.401,4
-1,-1.123,14.159,513.937,6
1,13.365,18.04,-1562.731,4
-1,-13.476,-24.126,-626.087,5
-1,-7.202,2.091,3312.482,9
0,5.383,16.875,-418.69,5
0,-13.26,3.46,-573.588,5
0,10.615,-10.554,-0.177,5
1,-6.006,11.449,-1319.493,4
0,-21.694,-0.627,-198.827,5
1,-4.845,-0.61,-153.982,5
-1,10.944,-10.295,-141.197,5
1,4.216,-19.466,1702.234,7
0,2.712,3.387,-1096.237,4
0,-5.174,9.711,303.965,6
1,19.689,-7.241,-1098.316,4
-1,32.2,7.816,121.223,6
0,5.566,-1.857,310.513,6
-1,-3.325,7.539,-1099.333,4
0,-5.761,-1.319,805.212,6
0,12.56,0.179,-691.782,5
0,-6.452,-2.835,1723.573,7
0,28.82,1.348,205.697,6
0,-20.29,17.931,-632.916,5
0,-8.057,-7.902,-911.127,5
0,9.286,-11.93,-960.739,4
1,-9.214,-3.217,200.034,6
2,5.656,-12.851,-2176.326,3
1,-3.41,-4.946,1082.564,7
1,-2.61,7.879,-289.972,5
1,13.621,-7.498,417.353,6
0,-2.531,-0.743,-13.506,5
1,-37.18,33.877,-144.364,5
0,4.055,-9.855,-1631.966,4
3,-1.636,29.221,741.006,6
1,-28.868,-0.233,1153.555,7
0,-8.26,-4.162,690.738,6
0,-0.828,-9.912,875.872,6
0,21.259,4.909,-1958.831,3
0,14.103,-15.04,124.475,6
-1,-6.455,5.501,-415.694,5
0,7.07,24.015,-1152.59,4
0,5.984,-14.362,802.399,6
1,9.004,-10.935,-20.083,5
0,33.155,-2.206,325.674,6
-1,2.674,-5.813,260.603,6
0,9.083,-8.145,1822.951,7
1,-12.43,-9.427,-1186.796,4
-1,7.373,26.06,1864.671,7
2,0.077,-17.928,2176.665,8
0,23.169,-5.741,-99.022,5
0,-21.692,31.791,-617.671,5
0,-11.588,7.445,-938.191,5
1,9.693,-35.656,1618.74,7
0,13.249,8.706,142.947,6
0,19.458,5.584,141.703,6
0,-4.667,0.815,942.891,6
0,3.803,1.274,-634.357,5
0,-5.102,-17.623,-616.142,5
-1,-3.751,-10.68,119.099,6
0,-4.664,25.413,-280.292,5
2,3.508,-12.876,964.459,6
1,-24.918,-13.135,21.375,5
1,-8.837,22.14,1317.736,7
0,-0.806,-5.698,-110.926,5
0,-4.437,-2.212,425.366,6
1,0.747,17.202,945.115,6
2,-7.969,5.192,-2988.529,2
2,5.85,10.071,1419.6,7
0,5.219,-16.402,1136.981,7
2,9.382,4.644,-1980.288,3
0,-12.851,-3.33,1298.66,7
0,15.378,-15.877,-858.46,5
0,11.219,18.103,2424.735,8
1,1.831,9.519,175.223,6
0,-0.647,-16.062,-344.262,5
-1,-13.637,0.321,-549.956,5
0,-13.74,4.943,1086.384,7
0,-18.942,-15.246,-401.119,5
